,location,size,total_sqft,bath,price,bhk,price_per_sqft
5714,Whitefield,3 BHK,1655.0,3.0,113.0,3,6827
5715,Haralur Road,4 BHK,2805.0,5.0,160.0,4,5704
5716,R.T. Nagar,7 Bedroom,600.0,7.0,93.0,7,15500
5717,other,2 BHK,1040.0,2.0,46.79,2,4499
5718,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884
5719,Kodichikkanahalli,6 Bedroom,1600.0,4.0,200.0,6,12500
5720,Hebbal,2 BHK,1250.0,2.0,55.55,2,4444
5721,Yelahanka,4 Bedroom,1800.0,4.0,180.0,4,10000
5722,other,2 Bedroom,1200.0,2.0,53.0,2,4416
5723,other,4 BHK,2050.0,3.0,100.0,4,4878
5724,Whitefield,1 BHK,530.0,1.0,29.44,1,5554
5725,Sarjapur,4 Bedroom,2585.5,4.0,139.5,4,5395
5726,Kambipura,2 BHK,883.0,2.0,37.0,2,4190
5727,Uttarahalli,3 BHK,1490.0,2.0,59.6,3,4000
5728,Ramagondanahalli,2 BHK,1295.0,2.0,95.0,2,7335
5729,Sompura,3 BHK,1275.0,3.0,59.0,3,4627
5730,other,2 BHK,800.0,2.0,30.0,2,3750
5731,Devanahalli,1 BHK,1200.0,1.0,95.0,1,7916
5732,Bellandur,2 BHK,1063.0,2.0,58.0,2,5456
5733,Balagere,1 BHK,656.0,1.0,43.0,1,6554
5734,other,2 BHK,1125.0,2.0,36.0,2,3200
5735,Marathahalli,2 BHK,881.0,2.0,48.06,2,5455
5736,other,9 Bedroom,1350.0,8.0,200.0,9,14814
5737,Bisuvanahalli,2 BHK,700.0,1.0,32.0,2,4571
5738,other,3 Bedroom,1936.0,3.0,110.0,3,5681
5739,Hosa Road,3 BHK,1680.0,3.0,101.0,3,6011
5740,Rayasandra,2 BHK,1253.0,2.0,57.0,2,4549
5741,Rajaji Nagar,3 BHK,1640.0,3.0,230.0,3,14024
5742,Mysore Road,3 BHK,1082.0,3.0,50.0,3,4621
5743,Electronic City,2 BHK,1065.0,2.0,30.75,2,2887
5744,Iblur Village,3 BHK,2100.0,4.0,145.0,3,6904
5745,Electronic City,2 BHK,1070.0,2.0,58.0,2,5420
5746,Raja Rajeshwari Nagar,3 BHK,1280.0,3.0,57.6,3,4500
5747,other,5 Bedroom,1200.0,5.0,300.0,5,25000
5748,Electronic City Phase II,2 BHK,1125.0,2.0,29.25,2,2600
5749,Sarjapur  Road,3 BHK,1755.0,3.0,122.0,3,6951
5750,Electronic City,2 BHK,1210.0,2.0,54.0,2,4462
5751,Talaghattapura,2 BHK,951.0,2.0,30.43,2,3199
5752,Electronic City,3 BHK,1500.0,2.0,75.0,3,5000
5753,other,3 BHK,1652.5,3.0,90.0,3,5446
5754,Yeshwanthpur,3 BHK,1381.0,2.0,76.18,3,5516
5755,Whitefield,2 BHK,1085.0,2.0,57.0,2,5253
5756,Whitefield,1 BHK,905.0,1.0,50.0,1,5524
5757,Hennur Road,3 BHK,1685.0,3.0,95.0,3,5637
5758,Somasundara Palya,2 BHK,1200.0,2.0,75.0,2,6250
5759,Anandapura,2 BHK,1151.0,2.0,42.9,2,3727
5760,Brookefield,4 Bedroom,3532.0,3.0,170.0,4,4813
5761,Kanakpura Road,3 BHK,1665.0,3.0,86.91,3,5219
5762,Kengeri Satellite Town,2 BHK,800.0,2.0,40.0,2,5000
5763,Chamrajpet,2 Bedroom,1050.0,2.0,162.0,2,15428
5764,Rajiv Nagar,2 BHK,1030.0,2.0,46.5,2,4514
5765,Hoodi,2 BHK,1257.0,2.0,71.03,2,5650
5766,Whitefield,3 BHK,1600.0,3.0,82.0,3,5125
5767,Choodasandra,3 BHK,1465.0,3.0,75.0,3,5119
5768,Jakkur,3 BHK,1650.0,3.0,111.0,3,6727
5769,Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
5770,Yelahanka New Town,2 Bedroom,680.0,1.0,80.0,2,11764
5771,Whitefield,4 Bedroom,1230.0,4.0,80.0,4,6504
5772,Koramangala,2 BHK,1300.0,2.0,82.0,2,6307
5773,KR Puram,2 BHK,1000.0,2.0,44.5,2,4450
5774,Mahadevpura,2 BHK,1146.0,2.0,53.8,2,4694
5775,other,6 BHK,1200.0,6.0,120.0,6,10000
5776,Indira Nagar,3 BHK,2601.0,4.0,312.0,3,11995
5777,other,3 BHK,2159.0,3.0,110.0,3,5094
5778,Whitefield,2 BHK,1255.0,2.0,40.0,2,3187
5779,Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2,5309
5780,Padmanabhanagar,2 BHK,1200.0,2.0,60.0,2,5000
5781,Sarjapur  Road,2 BHK,1040.0,2.0,37.0,2,3557
5782,TC Palaya,8 Bedroom,1500.0,8.0,150.0,8,10000
5783,other,4 Bedroom,906.0,3.0,55.0,4,6070
5784,Uttarahalli,2 BHK,1180.0,2.0,41.3,2,3499
5785,other,7 Bedroom,1200.0,7.0,169.0,7,14083
5786,other,6 Bedroom,850.0,7.0,100.0,6,11764
5787,KR Puram,2 BHK,1200.0,2.0,47.0,2,3916
5788,Sarjapur  Road,3 BHK,1374.0,3.0,51.0,3,3711
5789,Vidyaranyapura,9 BHK,4700.0,10.0,130.0,9,2765
5790,Whitefield,1 BHK,630.5,1.0,32.15,1,5099
5791,other,3 Bedroom,2400.0,2.0,480.0,3,20000
5792,Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
5793,other,5 Bedroom,1200.0,4.0,130.0,5,10833
5794,Jalahalli,3 BHK,2384.0,4.0,165.0,3,6921
5795,Electronic City,3 BHK,1033.0,2.0,28.41,3,2750
5796,Yelahanka,2 BHK,1200.0,2.0,54.0,2,4500
5797,Haralur Road,3 BHK,2017.0,3.0,105.0,3,5205
5798,other,3 Bedroom,1500.0,3.0,138.0,3,9200
5799,other,2 BHK,700.0,2.0,43.0,2,6142
5800,Shampura,6 Bedroom,1150.0,6.0,75.0,6,6521
5801,Kanakpura Road,3 BHK,1495.0,2.0,52.33,3,3500
5802,Kothanur,2 BHK,1302.0,2.0,68.5,2,5261
5803,Whitefield,1 BHK,905.0,1.0,52.0,1,5745
5804,Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,55.79,2,4281
5805,Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3,5259
5806,Gottigere,3 BHK,1380.0,2.0,95.0,3,6884
5807,Harlur,3 BHK,1620.0,3.0,110.0,3,6790
5808,Chandapura,4 Bedroom,4800.0,4.0,250.0,4,5208
5809,Sarjapur  Road,2 BHK,1000.0,2.0,38.5,2,3850
5810,Ramamurthy Nagar,3 Bedroom,800.0,4.0,88.0,3,11000
5811,Thanisandra,2 BHK,1250.0,1.0,54.0,2,4320
5812,other,3 BHK,1750.0,3.0,170.0,3,9714
5813,Anekal,3 BHK,997.0,3.0,55.0,3,5516
5814,Kothanur,3 BHK,1760.0,3.0,111.0,3,6306
5815,Yelahanka,2 BHK,1322.0,2.0,75.0,2,5673
5816,other,3 Bedroom,1365.0,3.0,99.0,3,7252
5817,Sahakara Nagar,3 BHK,1500.0,3.0,125.0,3,8333
5818,Kaggadasapura,3 BHK,1256.0,2.0,50.0,3,3980
5819,Brookefield,2 BHK,941.0,2.0,48.0,2,5100
5820,Devanahalli,4 Bedroom,5000.0,4.0,465.0,4,9300
5821,Kanakpura Road,3 BHK,1665.0,3.0,86.58,3,5200
5822,Hennur Road,2 BHK,1414.0,2.0,84.18,2,5953
5823,Chikkalasandra,3 BHK,1270.0,2.0,55.25,3,4350
5824,other,3 Bedroom,800.0,2.0,80.0,3,10000
5825,Kengeri Satellite Town,4 Bedroom,4100.0,3.0,300.0,4,7317
5826,other,6 Bedroom,1800.0,3.0,105.0,6,5833
5827,other,2 BHK,850.0,2.0,35.0,2,4117
5828,Kanakpura Road,1 BHK,712.0,1.0,38.44,1,5398
5829,Rajaji Nagar,4 BHK,2648.0,5.0,251.5,4,9497
5830,other,3 Bedroom,900.0,4.0,180.0,3,20000
5831,TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111
5832,Hebbal,2 BHK,1200.0,2.0,49.0,2,4083
5833,Kengeri Satellite Town,1 BHK,654.0,1.0,22.0,1,3363
5834,other,2 BHK,708.0,1.0,55.0,2,7768
5835,other,4 Bedroom,600.0,5.0,75.0,4,12500
5836,other,3 BHK,1680.0,3.0,135.0,3,8035
5837,other,2 BHK,990.0,2.0,58.0,2,5858
5838,Uttarahalli,2 BHK,1380.0,2.0,42.0,2,3043
5839,Hebbal,2 BHK,1088.0,2.0,62.0,2,5698
5840,Harlur,3 BHK,1414.0,3.0,77.5,3,5480
5841,other,2 BHK,1240.0,2.0,100.0,2,8064
5842,other,3 BHK,1810.0,3.0,118.0,3,6519
5843,other,3 BHK,2005.0,3.0,240.0,3,11970
5844,Kothanur,2 BHK,1185.0,2.0,58.0,2,4894
5845,Whitefield,3 Bedroom,1200.0,3.0,57.15,3,4762
5846,Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
5847,other,2 BHK,1265.0,2.0,58.0,2,4584
5848,Sahakara Nagar,2 BHK,1100.0,2.0,55.0,2,5000
5849,other,2 BHK,1035.0,2.0,44.0,2,4251
5850,Sonnenahalli,1 BHK,614.5,1.0,30.715,1,4998
5851,other,2 BHK,1000.0,2.0,97.0,2,9700
5852,Hegde Nagar,2 BHK,1179.0,2.0,49.35,2,4185
5853,Vittasandra,3 BHK,1650.0,3.0,84.0,3,5090
5854,other,6 Bedroom,2800.0,4.0,100.0,6,3571
5855,other,8 Bedroom,3500.0,6.0,120.0,8,3428
5856,other,3 BHK,1430.0,3.0,78.65,3,5500
5857,Marathahalli,3 BHK,1130.0,2.0,58.0,3,5132
5858,JP Nagar,3 BHK,1850.0,2.0,110.0,3,5945
5859,Hennur,3 BHK,1340.0,3.0,54.24,3,4047
5860,other,2 Bedroom,600.0,2.0,30.0,2,5000
5861,Banashankari,3 BHK,2582.0,5.0,250.0,3,9682
5862,Channasandra,2 BHK,1160.0,2.0,55.0,2,4741
5863,other,1 Bedroom,1200.0,2.0,45.0,1,3750
5864,other,2 BHK,1116.0,2.0,37.6,2,3369
5865,other,3 Bedroom,600.0,2.0,85.0,3,14166
5866,Sarakki Nagar,3 BHK,2663.0,4.0,338.0,3,12692
5867,other,2 BHK,1090.0,2.0,45.0,2,4128
5868,JP Nagar,2 BHK,1100.0,2.0,45.0,2,4090
5869,Kammasandra,3 BHK,1365.0,2.0,34.13,3,2500
5870,Vijayanagar,3 BHK,1484.0,3.0,79.19,3,5336
5871,Green Glen Layout,3 BHK,1630.0,3.0,68.0,3,4171
5872,Whitefield,3 BHK,1451.0,2.0,52.43,3,3613
5873,Kanakpura Road,2 BHK,1330.0,2.0,107.0,2,8045
5874,Thanisandra,3 BHK,2127.0,3.0,135.0,3,6346
5875,other,5 Bedroom,875.0,5.0,120.0,5,13714
5876,other,4 Bedroom,1260.0,4.0,65.0,4,5158
5877,Sarjapur  Road,3 BHK,1173.0,2.0,45.75,3,3900
5878,Electronics City Phase 1,3 BHK,1445.0,2.0,56.0,3,3875
5879,other,4 BHK,2250.0,4.0,400.0,4,17777
5880,Bannerghatta Road,3 Bedroom,1500.0,4.0,239.0,3,15933
5881,Thanisandra,3 BHK,2336.5,3.0,115.89,3,4959
5882,JP Nagar,2 BHK,1197.0,2.0,47.88,2,4000
5883,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750
5884,Sarjapur  Road,5 BHK,3930.0,7.0,329.0,5,8371
5885,Kanakpura Road,3 BHK,1450.0,3.0,62.4,3,4303
5886,Whitefield,2 BHK,1187.0,2.0,37.85,2,3188
5887,other,6 Bedroom,4000.0,6.0,850.0,6,21250
5888,Channasandra,2 BHK,1050.0,2.0,41.0,2,3904
5889,Panathur,3 BHK,1370.0,2.0,54.8,3,4000
5890,Yelahanka,2 BHK,1036.0,2.0,39.37,2,3800
5891,JP Nagar,3 BHK,1275.0,3.0,41.2,3,3231
5892,Old Madras Road,4 BHK,2010.0,3.0,115.0,4,5721
5893,Thigalarapalya,2 BHK,1418.0,2.0,106.0,2,7475
5894,Thanisandra,2 BHK,1265.0,2.0,46.6,2,3683
5895,Anandapura,3 BHK,1576.0,3.0,58.0,3,3680
5896,Dodda Nekkundi,2 BHK,1148.0,2.0,56.0,2,4878
5897,other,2 BHK,1000.0,2.0,36.0,2,3600
5898,Kudlu,3 BHK,1293.0,2.0,85.0,3,6573
5899,TC Palaya,3 Bedroom,1200.0,2.0,66.0,3,5500
5900,Munnekollal,2 BHK,1210.0,2.0,75.0,2,6198
5901,HSR Layout,2 BHK,1126.0,2.0,69.0,2,6127
5902,Sarakki Nagar,3 BHK,1840.0,4.0,175.0,3,9510
5903,Vidyaranyapura,3 BHK,1440.0,2.0,70.0,3,4861
5904,Ramamurthy Nagar,3 BHK,1300.0,2.0,52.0,3,4000
5905,Thanisandra,2 BHK,1276.0,2.0,75.0,2,5877
5906,other,6 Bedroom,600.0,4.0,105.0,6,17500
5907,Whitefield,2 BHK,1216.0,2.0,83.0,2,6825
5908,other,1 BHK,840.0,1.0,75.0,1,8928
5909,other,5 Bedroom,1240.0,5.0,300.0,5,24193
5910,Sompura,2 BHK,1126.0,2.0,39.0,2,3463
5912,Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,65.0,2,5593
5913,Whitefield,2 BHK,1301.0,2.0,65.0,2,4996
5914,Devanahalli,1 BHK,658.0,1.0,34.0,1,5167
5915,Sahakara Nagar,3 Bedroom,1350.0,3.0,250.0,3,18518
5916,Whitefield,3 BHK,2500.0,3.0,280.0,3,11200
5917,Chandapura,3 BHK,1208.51,3.0,42.0,3,3475
5918,Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,38.41,2,3390
5919,other,3 BHK,1760.0,2.0,116.0,3,6590
5920,Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3,4837
5921,Sarjapur,2 BHK,940.0,2.0,25.38,2,2700
5922,Badavala Nagar,2 BHK,1145.0,2.0,57.0,2,4978
5923,Bannerghatta Road,2 BHK,1302.5,2.0,67.73,2,5200
5924,other,4 Bedroom,3900.0,5.0,550.0,4,14102
5925,other,4 BHK,3317.5,5.0,268.5,4,8093
5926,Dasarahalli,2 BHK,1300.0,2.0,50.0,2,3846
5927,Malleshwaram,3 BHK,2475.0,4.0,326.0,3,13171
5928,6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803
5929,Hosakerehalli,1 Bedroom,1200.0,1.0,150.0,1,12500
5930,Jigani,4 Bedroom,2420.0,4.0,190.0,4,7851
5931,Thubarahalli,2 BHK,1216.0,2.0,80.0,2,6578
5932,Tumkur Road,3 BHK,1459.0,2.0,110.0,3,7539
5933,Jakkur,3 BHK,1622.0,2.0,80.0,3,4932
5934,Kanakpura Road,3 BHK,1843.0,3.0,85.0,3,4612
5935,Badavala Nagar,2 BHK,1274.0,2.0,81.0,2,6357
5936,other,2 Bedroom,600.0,1.0,52.0,2,8666
5937,Malleshpalya,3 BHK,1430.0,2.0,69.5,3,4860
5938,Kammanahalli,4 Bedroom,1800.0,2.0,280.0,4,15555
5939,Begur Road,3 BHK,1565.0,2.0,57.91,3,3700
5940,other,3 BHK,1670.0,3.0,160.0,3,9580
5941,Lakshminarayana Pura,3 BHK,1695.0,3.0,150.0,3,8849
5942,other,2 BHK,1410.0,2.0,75.0,2,5319
5943,Kengeri Satellite Town,2 BHK,1060.0,2.0,42.0,2,3962
5944,Sarjapur  Road,2 BHK,1120.0,2.0,50.0,2,4464
5945,Hosa Road,2 Bedroom,880.0,2.0,50.0,2,5681
5946,Jalahalli,2 BHK,1083.0,2.0,32.49,2,3000
5947,Dodda Nekkundi,3 BHK,1435.0,3.0,57.2,3,3986
5948,Doddakallasandra,3 BHK,1425.0,2.0,56.99,3,3999
5949,Arekere,2 BHK,900.0,2.0,50.0,2,5555
5950,other,5 BHK,2400.0,5.0,93.0,5,3875
5951,Thanisandra,1 BHK,693.0,1.0,34.3,1,4949
5952,Kengeri,3 Bedroom,600.0,3.0,90.0,3,15000
5953,Electronic City,4 BHK,2435.0,4.0,119.0,4,4887
5954,Iblur Village,3 BHK,1920.0,3.0,150.0,3,7812
5955,Electronic City,1 BHK,630.0,1.0,47.0,1,7460
5956,Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3,4651
5957,Hulimavu,5 Bedroom,1200.0,5.0,101.0,5,8416
5958,Nagavarapalya,1 BHK,705.0,1.0,55.0,1,7801
5959,other,3 BHK,1200.0,2.0,75.6,3,6299
5960,Mahadevpura,2 BHK,1532.0,2.0,62.0,2,4046
5961,Rajiv Nagar,2 BHK,1330.0,2.0,93.0,2,6992
5962,other,4 Bedroom,1200.0,3.0,210.0,4,17500
5963,Sarjapur  Road,3 BHK,1530.0,2.0,60.0,3,3921
5964,Kasavanhalli,2 BHK,1105.0,2.0,42.0,2,3800
5965,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494
5966,Harlur,3 BHK,1630.0,3.0,95.1,3,5834
5967,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000
5968,Banashankari,6 BHK,1200.0,6.0,180.0,6,15000
5969,Brookefield,3 BHK,1595.0,2.0,75.0,3,4702
5970,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300
5971,Poorna Pragna Layout,3 BHK,1475.0,2.0,58.99,3,3999
5972,other,5 Bedroom,2400.0,5.0,285.0,5,11875
5973,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
5974,other,4 Bedroom,2360.0,4.0,650.0,4,27542
5975,Uttarahalli,3 BHK,1737.0,2.0,95.0,3,5469
5976,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
5977,other,4 BHK,2100.0,4.0,150.0,4,7142
5978,Hosakerehalli,8 Bedroom,3600.0,6.0,145.0,8,4027
5979,Mysore Road,2 BHK,883.0,2.0,50.0,2,5662
5980,Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
5981,BTM Layout,3 BHK,1776.0,2.0,75.0,3,4222
5982,Anjanapura,3 BHK,1347.0,2.0,37.72,3,2800
5983,Whitefield,3 BHK,1330.0,2.0,55.0,3,4135
5984,other,2 Bedroom,600.0,2.0,120.0,2,20000
5985,Rajaji Nagar,4 BHK,3730.0,4.0,370.0,4,9919
5986,Harlur,3 BHK,1459.0,3.0,135.0,3,9252
5987,Thanisandra,4 BHK,2259.0,5.0,135.0,4,5976
5988,JP Nagar,7 Bedroom,2700.0,4.0,160.0,7,5925
5989,Gubbalala,2 BHK,1008.0,2.0,32.25,2,3199
5990,other,2 BHK,1200.0,2.0,52.5,2,4375
5991,other,4 BHK,2328.0,4.0,528.0,4,22680
5992,other,7 Bedroom,600.0,7.0,110.0,7,18333
5993,Electronic City,2 BHK,660.0,1.0,15.5,2,2348
5994,Rajaji Nagar,3 BHK,1800.0,2.0,250.0,3,13888
5995,Rajaji Nagar,4 BHK,3100.0,4.0,550.0,4,17741
5996,Yelahanka,2 BHK,1405.0,2.0,50.58,2,3600
5997,Yelahanka,1 BHK,602.0,1.0,26.0,1,4318
5998,Marathahalli,3 BHK,1710.0,3.0,100.0,3,5847
5999,JP Nagar,3 BHK,1500.0,2.0,82.0,3,5466
6000,other,3 BHK,1539.0,3.0,60.0,3,3898
6001,other,6 Bedroom,806.0,3.0,128.0,6,15880
6002,Judicial Layout,3 BHK,1100.0,2.0,53.0,3,4818
6003,Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,49.0,2,4257
6004,other,2 BHK,920.0,2.0,46.0,2,5000
6005,Kathriguppe,3 BHK,1350.0,3.0,78.3,3,5800
6006,Bannerghatta Road,2 BHK,1200.0,2.0,65.0,2,5416
6007,Thanisandra,2 BHK,1265.0,2.0,78.0,2,6166
6008,other,8 Bedroom,600.0,6.0,60.0,8,10000
6009,Sarjapur  Road,3 BHK,1700.0,3.0,93.5,3,5500
6010,Ramamurthy Nagar,3 Bedroom,1600.0,3.0,75.0,3,4687
6011,other,4 Bedroom,1550.0,4.0,120.0,4,7741
6012,R.T. Nagar,3 BHK,1560.0,3.0,125.0,3,8012
6013,Horamavu Agara,6 Bedroom,1000.0,5.0,98.0,6,9800
6014,Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700
6015,Raja Rajeshwari Nagar,4 Bedroom,1200.0,4.0,160.0,4,13333
6016,Sarjapur  Road,3 BHK,1403.0,3.0,56.0,3,3991
6017,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2,3999
6018,Tumkur Road,3 BHK,1416.0,3.0,94.0,3,6638
6019,Kanakpura Road,2 BHK,1628.0,2.0,68.0,2,4176
6020,Chamrajpet,4 Bedroom,1660.4,4.0,211.0,4,12707
6021,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440
6022,Doddathoguru,3 BHK,1595.0,3.0,62.0,3,3887
6023,Kanakpura Road,3 BHK,1507.0,2.0,95.0,3,6303
6024,Frazer Town,3 BHK,2560.0,3.0,288.0,3,11250
6025,Hennur Road,3 BHK,1949.0,3.0,133.0,3,6824
6026,BTM 2nd Stage,2 Bedroom,800.0,2.0,175.0,2,21875
6027,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,2888
6028,other,2 BHK,905.0,2.0,50.0,2,5524
6029,Hosakerehalli,3 BHK,2480.0,3.0,245.0,3,9879
6030,other,3 BHK,1495.0,3.0,200.0,3,13377
6031,Kaikondrahalli,3 BHK,1605.0,3.0,105.0,3,6542
6032,Bommanahalli,2 BHK,1290.0,2.0,73.0,2,5658
6033,Yelahanka,2 BHK,1100.0,2.0,60.0,2,5454
6034,Vishveshwarya Layout,6 BHK,2100.0,6.0,92.0,6,4380
6035,Electronics City Phase 1,2 BHK,995.0,2.0,49.8,2,5005
6036,Banashankari Stage II,2 Bedroom,500.0,2.0,55.0,2,11000
6037,Rajaji Nagar,4 BHK,3526.0,4.0,598.0,4,16959
6038,Gottigere,3 BHK,1425.0,2.0,47.0,3,3298
6039,other,3 BHK,1455.0,2.0,55.0,3,3780
6040,other,1 BHK,550.0,1.0,23.0,1,4181
6041,Uttarahalli,3 BHK,1385.0,2.0,48.48,3,3500
6042,Vishveshwarya Layout,4 Bedroom,7000.0,4.0,210.0,4,3000
6043,other,5 BHK,4000.0,3.0,130.0,5,3250
6044,other,2 BHK,1060.0,2.0,53.0,2,5000
6045,other,3 BHK,1080.0,2.0,75.0,3,6944
6046,HBR Layout,3 BHK,1783.0,3.0,125.0,3,7010
6047,Haralur Road,3 BHK,1520.0,2.0,90.0,3,5921
6048,Sarjapur  Road,2 BHK,1060.0,2.0,55.0,2,5188
6049,Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,54.35,2,4289
6050,Whitefield,2 BHK,1155.0,2.0,55.0,2,4761
6051,Karuna Nagar,3 Bedroom,2500.0,3.0,180.0,3,7200
6052,Bannerghatta Road,2 BHK,1240.0,2.0,65.0,2,5241
6053,other,3 BHK,1570.0,3.0,78.0,3,4968
6054,NGR Layout,2 BHK,1019.0,2.0,45.9,2,4504
6055,Whitefield,2 BHK,1355.0,3.0,76.0,2,5608
6056,other,3 BHK,1537.0,3.0,110.0,3,7156
6057,Whitefield,4 BHK,4075.0,5.0,226.0,4,5546
6058,Raja Rajeshwari Nagar,3 BHK,1550.0,3.0,52.45,3,3383
6059,Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,50.0,2,4545
6060,other,3 BHK,1750.0,3.0,150.0,3,8571
6061,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843
6062,Rachenahalli,3 BHK,1550.0,3.0,72.5,3,4677
6063,Akshaya Nagar,3 BHK,2300.0,4.0,102.0,3,4434
6064,Kengeri,1 BHK,540.0,1.0,22.5,1,4166
6065,8th Phase JP Nagar,3 Bedroom,950.0,3.0,130.0,3,13684
6066,other,7 Bedroom,2800.0,7.0,250.0,7,8928
6067,other,2 BHK,1020.0,2.0,48.0,2,4705
6068,Cunningham Road,3 BHK,2880.0,3.0,501.0,3,17395
6069,Hebbal,3 BHK,1987.0,4.0,165.0,3,8303
6070,Hoodi,2 BHK,1305.0,2.0,75.0,2,5747
6071,Sarjapur,4 Bedroom,2100.0,3.0,125.0,4,5952
6072,Electronic City,2 BHK,1125.0,2.0,32.5,2,2888
6073,Horamavu Banaswadi,2 BHK,1225.0,2.0,49.5,2,4040
6074,Hennur,2 BHK,1255.0,2.0,55.5,2,4422
6075,other,2 BHK,1191.0,2.0,90.0,2,7556
6076,Uttarahalli,6 Bedroom,3600.0,6.0,303.0,6,8416
6077,Electronic City,2 BHK,1165.0,2.0,33.64,2,2887
6078,other,2 BHK,865.0,2.0,35.11,2,4058
6079,Nagarbhavi,3 BHK,1850.0,2.0,88.0,3,4756
6080,Marsur,2 BHK,497.0,1.0,17.0,2,3420
6081,Hennur Road,2 BHK,1232.0,2.0,89.0,2,7224
6082,Thanisandra,3 BHK,1732.0,3.0,85.73,3,4949
6083,Yelahanka,3 BHK,1614.0,2.0,100.0,3,6195
6084,Magadi Road,2 BHK,600.0,1.0,22.0,2,3666
6085,Thigalarapalya,3 BHK,2072.0,4.0,155.0,3,7480
6086,Electronic City,2 BHK,919.0,2.0,34.0,2,3699
6087,other,4 Bedroom,2100.0,4.0,90.0,4,4285
6088,Shampura,4 BHK,672.0,3.0,54.0,4,8035
6089,other,8 BHK,800.0,6.0,110.0,8,13750
6090,Marsur,3 Bedroom,1200.0,3.0,150.0,3,12500
6091,other,4 BHK,2849.0,5.0,250.0,4,8775
6092,other,2 BHK,1000.0,2.0,42.0,2,4200
6093,Whitefield,2 BHK,1216.0,2.0,75.0,2,6167
6094,Lingadheeranahalli,4 BHK,2245.0,4.0,154.0,4,6859
6095,Bannerghatta Road,3 BHK,1476.0,3.0,125.0,3,8468
6096,Ambedkar Nagar,3 BHK,1852.0,3.0,130.0,3,7019
6097,other,2 BHK,1225.0,2.0,47.0,2,3836
6098,Panathur,3 BHK,1597.0,3.0,67.12,3,4202
6099,Jakkur,3 BHK,2423.0,4.0,160.0,3,6603
6100,Marathahalli,2 BHK,1152.0,2.0,90.0,2,7812
6101,Harlur,3 BHK,1762.0,3.0,133.0,3,7548
6102,Kammasandra,3 Bedroom,1400.0,3.0,92.0,3,6571
6103,Rachenahalli,3 BHK,1530.0,2.0,74.4,3,4862
6104,other,6 Bedroom,2400.0,6.0,400.0,6,16666
6105,Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,40.17,2,3389
6106,Yelahanka,3 BHK,1890.0,3.0,108.0,3,5714
6107,Varthur Road,3 BHK,1247.0,2.0,58.0,3,4651
6108,1st Block Jayanagar,8 Bedroom,700.0,4.0,104.0,8,14857
6109,HRBR Layout,6 Bedroom,1000.0,6.0,275.0,6,27500
6110,Bellandur,2 BHK,1201.0,2.0,59.99,2,4995
6111,other,2 BHK,830.0,2.0,40.0,2,4819
6112,Electronic City Phase II,2 BHK,1165.0,2.0,30.29,2,2600
6113,Bommanahalli,2 BHK,1100.0,1.0,55.0,2,5000
6114,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3,4920
6115,other,3 BHK,1685.0,3.0,60.0,3,3560
6116,Sarakki Nagar,4 BHK,3131.0,4.0,349.0,4,11146
6117,Battarahalli,2 BHK,1165.0,2.0,43.0,2,3690
6118,other,2 BHK,827.0,2.0,45.0,2,5441
6119,other,3 Bedroom,396.0,2.0,48.0,3,12121
6120,Uttarahalli,4 Bedroom,1200.0,4.0,179.0,4,14916
6121,Electronics City Phase 1,1 BHK,635.0,1.0,26.0,1,4094
6122,Whitefield,4 Bedroom,4000.0,4.0,380.0,4,9500
6123,other,2 BHK,1050.0,2.0,50.0,2,4761
6124,other,5 Bedroom,600.0,4.0,76.0,5,12666
6125,Jakkur,3 BHK,1819.18,3.0,168.0,3,9234
